Country Name,Country Code,Series Name,Series Code,2012 [YR2012]
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4046901
World,WLD,"Population, total",SP.POP.TOTL,7097400665.07723
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,24909969
Zambia,ZMB,"Population, total",SP.POP.TOTL,14699937
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,14710826
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 03/01/2018,,,,
